creation_time,end_time,src_ip,src_ip_country_code,protocol,response.code,dst_port,dst_ip,bytes_in,bytes_out
2024-04-25T23:00:00Z,2024-04-25T23:10:00Z,136.226.64.114,US,HTTPS,200,443,10.138.69.97,30546,14278
2024-04-25T23:10:00Z,2024-04-25T23:20:00Z,136.226.64.114,US,HTTPS,200,443,10.138.69.97,73752,18924
2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,136.226.64.114,US,HTTPS,200,443,10.138.69.97,60068,12628
2024-04-26T00:10:00Z,2024-04-26T00:20:00Z,136.226.64.114,US,HTTPS,200,443,10.138.69.97,44270,21924
2024-04-26T00:40:00Z,2024-04-26T00:50:00Z,136.226.64.114,US,HTTPS,200,443,10.138.69.97,43660,12924
2024-04-26T01:20:00Z,2024-04-26T01:30:00Z,136.226.64.114,US,HTTPS,200,443,10.138.69.97,30178,14280
2024-04-26T01:30:00Z,2024-04-26T01:40:00Z,136.226.64.114,US,HTTPS,200,443,10.138.69.97,43840,13960
2024-04-26T08:00:00Z,2024-04-26T08:10:00Z,136.226.64.114,US,HTTPS,200,443,10.138.69.97,44408,22446
2024-04-26T08:30:00Z,2024-04-26T08:40:00Z,136.226.64.114,US,HTTPS,200,443,10.138.69.97,44390,22134
2024-04-26T08:50:00Z,2024-04-26T09:00:00Z,136.226.64.114,US,HTTPS,200,443,10.138.69.97,60122,12630
2024-04-26T09:00:00Z,2024-04-26T09:10:00Z,136.226.64.114,US,HTTPS,200,443,10.138.69.97,30596,14488
2024-04-26T09:30:00Z,2024-04-26T09:40:00Z,136.226.64.114,US,HTTPS,200,443,10.138.69.97,43550,13546
2024-04-26T09:50:00Z,2024-04-26T10:00:00Z,136.226.64.114,US,HTTPS,200,443,10.138.69.97,30450,14276
2024-04-25T23:10:00Z,2024-04-25T23:20:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,18162,30492
2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,26178,33801
2024-04-25T23:30:00Z,2024-04-25T23:40:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,23048,24124
2024-04-25T23:40:00Z,2024-04-25T23:50:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,12068,25589
2024-04-25T23:50:00Z,2024-04-26T00:00:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,21698,21218
2024-04-26T00:00:00Z,2024-04-26T00:10:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,28762,43272
2024-04-26T00:10:00Z,2024-04-26T00:20:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,28730,28386
2024-04-26T00:20:00Z,2024-04-26T00:30:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,21448,32494
2024-04-26T00:30:00Z,2024-04-26T00:40:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,38560,34470
2024-04-26T00:40:00Z,2024-04-26T00:50:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,31076,39744
2024-04-26T01:00:00Z,2024-04-26T01:10:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,10262,16182
2024-04-26T01:10:00Z,2024-04-26T01:20:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,16062,27514
2024-04-26T01:20:00Z,2024-04-26T01:30:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,24442,25574
2024-04-26T01:30:00Z,2024-04-26T01:40:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,23680,33014
2024-04-26T01:40:00Z,2024-04-26T01:50:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,5492,12046
2024-04-26T01:50:00Z,2024-04-26T02:00:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,37105,49494
2024-04-26T08:00:00Z,2024-04-26T08:10:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,35666,39032
2024-04-26T08:10:00Z,2024-04-26T08:20:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,15978,28154
2024-04-26T08:20:00Z,2024-04-26T08:30:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,30396,28830
2024-04-26T08:30:00Z,2024-04-26T08:40:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,37156,48239
2024-04-26T08:40:00Z,2024-04-26T08:50:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,15016,11797
2024-04-26T08:50:00Z,2024-04-26T09:00:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,28830,27096
2024-04-26T09:00:00Z,2024-04-26T09:10:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,18890,30568
2024-04-26T09:10:00Z,2024-04-26T09:20:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,16960,19458
2024-04-26T09:20:00Z,2024-04-26T09:30:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,24506,34772
2024-04-26T09:30:00Z,2024-04-26T09:40:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,14150,26266
2024-04-26T09:40:00Z,2024-04-26T09:50:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,38524,42218
2024-04-26T09:50:00Z,2024-04-26T10:00:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,21752,22356
2024-04-25T23:00:00Z,2024-04-25T23:10:00Z,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,3906,3488
2024-04-25T23:10:00Z,2024-04-25T23:20:00Z,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,6958,12854
2024-04-25T23:30:00Z,2024-04-25T23:40:00Z,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,5824,11568
2024-04-25T23:40:00Z,2024-04-25T23:50:00Z,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,33268,9986
2024-04-26T00:20:00Z,2024-04-26T00:30:00Z,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,33662,9572
2024-04-26T00:40:00Z,2024-04-26T00:50:00Z,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,35894,10094
2024-04-26T00:50:00Z,2024-04-26T01:00:00Z,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,34660,10044
2024-04-26T01:00:00Z,2024-04-26T01:10:00Z,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,47774,23406
2024-04-26T01:10:00Z,2024-04-26T01:20:00Z,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,7182,12958
2024-04-26T01:20:00Z,2024-04-26T01:30:00Z,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,5154,2878
2024-04-26T01:40:00Z,2024-04-26T01:50:00Z,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,38780,18682
2024-04-26T08:30:00Z,2024-04-26T08:40:00Z,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,4686,11778
2024-04-26T08:50:00Z,2024-04-26T09:00:00Z,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,36522,18578
2024-04-26T09:00:00Z,2024-04-26T09:10:00Z,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,48614,25178
2024-04-26T09:10:00Z,2024-04-26T09:20:00Z,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,6488,4164
2024-04-26T09:40:00Z,2024-04-26T09:50:00Z,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,7382,4370
2024-04-26T09:50:00Z,2024-04-26T10:00:00Z,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,41336,13180
2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,136.226.80.97,US,HTTPS,200,443,10.138.69.97,7724,6288
2024-04-25T23:30:00Z,2024-04-25T23:40:00Z,136.226.80.97,US,HTTPS,200,443,10.138.69.97,4220,11672
2024-04-25T23:50:00Z,2024-04-26T00:00:00Z,136.226.80.97,US,HTTPS,200,443,10.138.69.97,4220,11570
