bytes_in,bytes_out,creation_time,end_time,src_ip
5602,12990,2024-04-25T23:00:00Z,2024-04-25T23:10:00Z,147.161.161.82
30912,18186,2024-04-25T23:00:00Z,2024-04-25T23:10:00Z,165.225.33.6
28506,13468,2024-04-25T23:00:00Z,2024-04-25T23:10:00Z,165.225.212.255
30546,14278,2024-04-25T23:00:00Z,2024-04-25T23:10:00Z,136.226.64.114
6526,13892,2024-04-25T23:00:00Z,2024-04-25T23:10:00Z,165.225.240.79
3906,3488,2024-04-25T23:00:00Z,2024-04-25T23:10:00Z,136.226.77.103
17748,29208,2024-04-25T23:00:00Z,2024-04-25T23:10:00Z,165.225.26.101
4767917,291520,2024-04-25T23:00:00Z,2024-04-25T23:10:00Z,155.91.45.242
10538,15514,2024-04-25T23:00:00Z,2024-04-25T23:10:00Z,165.225.209.4
9656,6380,2024-04-25T23:00:00Z,2024-04-25T23:10:00Z,147.161.131.1
57208,32874,2024-04-25T23:10:00Z,2024-04-25T23:20:00Z,165.225.33.6
18162,30492,2024-04-25T23:10:00Z,2024-04-25T23:20:00Z,136.226.67.101
28056,4832,2024-04-25T23:10:00Z,2024-04-25T23:20:00Z,165.225.212.255
73752,18924,2024-04-25T23:10:00Z,2024-04-25T23:20:00Z,136.226.64.114
4080,11282,2024-04-25T23:10:00Z,2024-04-25T23:20:00Z,94.188.248.74
1968903,38773,2024-04-25T23:10:00Z,2024-04-25T23:20:00Z,165.225.240.79
6958,12854,2024-04-25T23:10:00Z,2024-04-25T23:20:00Z,136.226.77.103
8310,6276,2024-04-25T23:10:00Z,2024-04-25T23:20:00Z,165.225.26.101
4804723,291088,2024-04-25T23:10:00Z,2024-04-25T23:20:00Z,155.91.45.242
11820,24620,2024-04-25T23:10:00Z,2024-04-25T23:20:00Z,165.225.209.4
8206,6068,2024-04-25T23:10:00Z,2024-04-25T23:20:00Z,147.161.131.1
29356,17408,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,165.225.33.6
26178,33801,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,136.226.67.101
29308,15652,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,165.225.213.7
60068,12628,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,136.226.64.114
4043,7629,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,165.225.240.79
3102,11038,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,165.225.8.79
8310,6070,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,165.225.26.101
5528,12010,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,165.225.209.4
4926,11570,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,147.161.131.1
7724,6288,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,136.226.80.97
80,528,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,192.241.230.19
23048,24124,2024-04-25T23:30:00Z,2024-04-25T23:40:00Z,136.226.67.101
28444,13468,2024-04-25T23:30:00Z,2024-04-25T23:40:00Z,165.225.212.255
5824,11568,2024-04-25T23:30:00Z,2024-04-25T23:40:00Z,136.226.77.103
10474,23244,2024-04-25T23:30:00Z,2024-04-25T23:40:00Z,165.225.26.101
4190330,283456,2024-04-25T23:30:00Z,2024-04-25T23:40:00Z,155.91.45.242
5080,11512,2024-04-25T23:30:00Z,2024-04-25T23:40:00Z,165.225.209.4
4220,11672,2024-04-25T23:30:00Z,2024-04-25T23:40:00Z,136.226.80.97
952,668,2024-04-25T23:30:00Z,2024-04-25T23:40:00Z,192.241.230.19
36745,28952,2024-04-25T23:40:00Z,2024-04-25T23:50:00Z,165.225.33.6
